Column1,Column2
you , U
you see , UZ
you had , UD
you go , UG
you got , UGD
you got , UGDZ
you get , UGT
you got , UGTD
you will , UL
you will see , ULZ
you would , ULD
You would , ULDZ
you also , ULS
you would , ULTD
you would , ULGD
you thought , ULGT
you that , ULGTS
you know , UB
you receive , UBZ
you could , UBD
you can , UBG
you can see , UBGZ
you could , UBGD
you could , UBGDZ
you can say , UBGS
you can see , UBGSZ
you could , UBGSD
you and , UBGT
you could , UBGTD
you believe , UBL
you believed , UBLD
you believe so , UBLS
you will be able to , UBLT
you cannot , UBLG
you could , UBLGD
you cannot , UBLGS
you said , UPD
you want , UPT
you wanted , UPTD
you think , UPG
you and , UPGS
you said , UPLD
you must , UPLS
you might , UPLT
you might , UPLTD
you thought , UPLGT
you know , UPB
you understand , UPBD
you know the , UPBT
you think , UPBG
you think so , UPBGS
you know , UPBL
you come , UPBLG
you are , UR
you read , URD
you are the , URT
you agree , URG
you agreed , URGD
you disagree , URGS
you recall , URL
you realize , URLZ
you recalled , URLD
you are also , URLS
you should , URBD
you shouldn't , URBTD
you work , URBG
you recognize , URBGZ
you worked , URBGD
you should , URBLD
you were , URP
you did , URPS
you were the , URPT
you did , URPTS
you won't , URPGS
you remember , URPL
You said , URPLD
you did , URPLS
you did not , URPLSZ
you do , URPLGS
you did not , URPLGSZ
you are not , URPBT
you do , URPBGS
you now , URPBLS
you did not , URPBLSZ
you do , URPBLGS
you have , UF
you saw , UFZ
you have had , UFD
you wasn't , UFSZ
you have the , UFT
you testified , UFTD
you went , UFG
you feel , UFL
you would have , UFLD
you felt , UFLT
you have been , UFB
you received , UFBZ
you haven't , UFBT
you have been , UFBG
you said , UFPD
you hadn't , UFPT
you haven't , UFPTD
you might , UFPLTD
you have not , UFPB
you have not seen , UFPBZ
you find , UFPBD
you haven't , UFPBT
you haven't , UFPBTZ
You haven't , UFPBGT
you haven't , UFPBLT
you have , UFR
you first , UFRS
you first , UFRSZ
you testified earlier , UFRTD
you went , UFRG
you went to , UFRGT
you went to the , UFRGTD
you went to , UFRGTS
you feel , UFRL
you need , UFRB
you needed , UFRBD
you need to , UFRBT
you needed to do , UFRBTD
you needed , UFRPD
you were , UFRPL
you understood , UFRPLG
you haven't , UFRPBT
you haven't , UFRPBTD
you haven't , UFRPBTS
you haven't , UFRPBLT
you haven't , UFRPBLTD
you haven't , UFRPBLTS
I told you , EUFPBGS
you understood , EUFRPLG
you see that , *UZ
you did , *UD
you say , *US
you to , *UT
you to do , *UTD
you go to , *UGT
you go to the , *UGTD
you wouldn't , *ULD
you also , *ULS
you wouldn't , *ULTD
you will go , *ULG
you received , *UBZ
you received , *UBSZ
you couldn't , *UBGD
you can't , *UBGT
you couldn't , *UBGTD
you would be , *UBLD
you wouldn't be , *UBLTD
you keep , *UPG
you mean , *UPL
you must , *UPLS
you wouldn't , *UPLTD
you may not , *UPLG
you mentioned , *UPBGS
you just , *UPBL
you just , *UPBLG
you remember , *UR
you read , *URD
you agree , *URG
you really , *URL
you should , *URBD
you shouldn't , *URBT
you shouldn't , *URBTD
you worked , *URBGD
you said , *URPD
you weren't , *URPT
you didn't , *URPLS
you are not , *URPBT
you just , *URPBLG
you don't , *URPBLGS
you have seen , *UFZ
you give , *UFG
you said , *UFPT
you must have , *UFPLS
you knew , *UFPB
you found , *UFPBD
you ever , *UFR
you needed , *UFRBD
you need to have , *UFRBT
you need to do , *UFRBTD
you review , *UFRP
you reviewed , *UFRPD
you reviewed the , *UFRPTD
you never , *UFRPB
you haven't , *UFRPBTS
you , OU
on you , OUPB
of you , OUFR
on you , O*UPB
of you , O*UFR
you a , AU
you see a , AUZ
you were a , AURP
you have a , A*UF
your , AOU
you'd , AOUD
youth , AOUTSDZ
you'll , AOUL
you'd , AOULD
your , AOUR
your , AOURD
yours , AOURS
yourselves , AOURSZ
your , AOURT
your , AOURTD
your , AOURG
your , AOURGT
your , AOURL
your , AOURLT
your , AOURB
your , AOURP
your , AOURPD
your , AOURPL
your , AOURPB
your analysis , AOURPBLZ
your knowledge , AOURPBLG
you've , AOUF
your , AOUFR
your , AOUFRP
your full name , AOUFRPB
your , AOEUR
you've , AO*U
"{,?}you know{,?} ", AO*UB
"{,?}you know{,?} ", AO*UPB
your , AO*UR
you've , AO*UF
you've had , AO*UFD
you've been , AO*UFB
you've , AO*UFR
are you , RU
are you , RUL
are you also , RULS
are you able , RUBL
are you able to , RUBLT
are you able to , RUBLTD
are you , RUP
are you not , RUPBT
are you able to , RUPBLT
are you working , RURBGDZ
are you prepared , RURPD
are you asking , RURPGSZ
are you referring to , RUFRGT
are you able to , REUBLT
are your , R*RBG
are you the , R*UT
are you the , R*UTD
are you able to see , R*ULTS
are you able to tell , R*UBLTD
are you able to see , R*UBLTS
are you just , R*UPBLG
are you there , R*URT
are you prepared , R*URPD
are you ever , R*UFR
are you familiar , RAFPL
are you familiar , RAUFPL
are you aware of , RAUFR
are you aware of any , RAUFRSZ
are you aware of , RAEFR
are you aware of that , RAEFRLGTS
are you a , RA*U
are your , RAO*UR
had you , HU
had you seen , HUZ
had you had , HUD
help you , HUP
had you seen , HUFZ
had you ever , HUFR
had you ever had , HUFRD
had you ever been , HUFRB
had you seen , H*UZ
had you received , H*UBZ
help you , H*UP
had you ever , H*UR
had you seen , H*UFZ
had you ever , H*UFR
had you ever seen , H*UFRZ
had you ever had , H*UFRD
had you ever been , H*UFRB
had you reviewed , H*UFRPD
how you got , HOUGD
how you're , HOUFRD
how did you , HO*UD
how were you , HO*URP
had you ever had , HO*UFRD
you had a , HAUD
had you been , HAUB
had you been , HA*UB
had you ever had , HA*UFRD
your , HAOUR
how you , HAO*U
how do you , HAO*UD
how do you know , HAO*UPB
how do you think , HAO*UPBG
how are you , HAO*UR
will you , HRU
will you say , HRUS
let you , HRUT
will you tell us , HRUTS
will you be , HRUB
will you believe , HRUBL
will you be able to , HRUBLT
will you ask , HRUPGS
will you tell me , HRUPLT
will you do , HRURPBLS
will you do , HRURPBLGS
will you have , HRUF
will you feel , HRUFL
had you ever , HRUFR
let you , HR*UT
will you go , HR*UG
will you go to , HR*UGT
will you please , HR*UP
will you understand , HR*UPBD
will you just , HR*UPBLG
will you agree , HR*URG
will you have , HR*UF
layout , HRA*EUT
layouts , HRA*EUTS
with you , WU
\wud\you had with , WUD
with you , WUL
when you said , WUPD
where you , WUR
with your , W*RBG
when you found , W*UFPBD
would you , WOU
would you see her , WOUZ
would you say , WOUS
would you tell us , WOUTS
would you go , WOUG
would you say , WOUGS
would you get , WOUGT
would you , WOUL
would you also , WOULS
would you be , WOUB
would you receive , WOUBZ
would you be the , WOUBT
would you believe , WOUBL
would you be able to , WOUBLT
would you please , WOUP
would you speak , WOUPS
would you please , WOUPSZ
would you ask , WOUPGS
would you tell me , WOUPLT
would you know , WOUPB
would you not , WOUPBT
would you think , WOUPBG
would you agree , WOURG
would you recall , WOURL
would you recognize , WOURBGZ
would you do , WOURPBLGS
would you have , WOUF
would you have had , WOUFD
would you feel , WOUFL
would you have been , WOUFB
would you ever , WOUFR
would you need , WOUFRB
would you need to , WOUFRBT
would your , WO*RBG
would you tell , WO*UT
would you go to , WO*UGT
would you go to the , WO*UGTD
would you please , WO*UP
would you just , WO*UPBLG
would you agree , WO*URG
would you agree , WO*URL
would your , WO*URBG
would you ever , WO*UFR
would you observe , WO*UFRB
would you review , WO*UFRP
was your , WA*RBG
would you , WAOU
would you say , WAOUS
with your , WAOUR
with your , WAOURP
with your , WAO*UR
where you're , WR-FRD
where you , WRU
where you see , WRUZ
where you had , WRUD
where you say , WRUS
were you the , WRUT
where you go , WRUG
where you got , WRUGD
where you got , WRUGT
were you , WRUL
where you would , WRULD
were you also , WRULS
where you thought , WRULGT
where you had been , WRUBD
where you can , WRUBG
where you can see , WRUBGZ
where you could , WRUBGD
where you believe , WRUBL
were you able to , WRUBLT
were you able to , WRUBLTD
where you said , WRUPD
where you want , WRUPT
where you and , WRUPGS
where you know , WRUPB
were you not , WRUPBT
where you come , WRUPBLG
where you are , WRUR
where you are the , WRURT
where you recall , WRURL
where you should , WRURBD
where you worked , WRURBGD
